,loss
0,16.691835403442383
1,16.707347869873047
2,16.72922706604004
3,16.73739242553711
4,16.813640594482422
5,16.669313430786133
6,16.6280517578125
7,16.696086883544922
8,16.66120719909668
9,16.67246437072754
10,16.658931732177734
11,16.61366844177246
12,16.760305404663086
13,16.67780876159668
14,16.72141456604004
15,16.637130737304688
16,16.68821907043457
17,16.726091384887695
18,16.72146987915039
19,16.5996036529541
20,16.704322814941406
21,16.657394409179688
22,16.67014503479004
23,16.73101234436035
24,16.684926986694336
25,16.72186279296875
26,16.6527099609375
27,16.609012603759766
28,16.650238037109375
29,16.68798065185547
30,16.56240463256836
31,16.60900115966797
32,16.684507369995117
33,16.659902572631836
34,16.44178009033203
35,16.661563873291016
36,16.796566009521484
37,16.533336639404297
38,16.418235778808594
39,16.51795196533203
40,16.61286163330078
41,16.612136840820312
42,16.618511199951172
43,16.640369415283203
44,16.73828125
45,16.67201042175293
46,16.536176681518555
47,16.635112762451172
48,16.652633666992188
49,16.66604995727539
50,16.668453216552734
51,16.583839416503906
52,16.732280731201172
53,16.61679458618164
54,16.775182723999023
55,16.581052780151367
56,16.652986526489258
57,16.614505767822266
58,16.518386840820312
59,16.46849250793457
60,16.661985397338867
61,16.680641174316406
62,16.605472564697266
63,16.540834426879883
64,16.52382469177246
65,16.386932373046875
66,16.57482147216797
67,16.773136138916016
68,16.706310272216797
69,16.729257583618164
70,16.501949310302734
71,16.580801010131836
72,16.658004760742188
73,16.709686279296875
74,16.605363845825195
75,16.742197036743164
76,16.456966400146484
77,16.52674102783203
78,16.665481567382812
79,16.563749313354492
80,16.505897521972656
81,16.613418579101562
82,16.691585540771484
83,16.712953567504883
84,16.515424728393555
85,16.532550811767578
86,16.560569763183594
87,16.459508895874023
88,16.589271545410156
89,16.425193786621094
90,16.395767211914062
91,16.40773582458496
92,16.551700592041016
93,16.636234283447266
94,16.274564743041992
95,16.539623260498047
96,16.58474349975586
97,16.729496002197266
98,16.60456085205078
99,16.5222110748291
100,16.516904830932617
101,16.440412521362305
102,16.451379776000977
103,16.543325424194336
104,16.64893913269043
105,16.577720642089844
106,16.392602920532227
107,16.552738189697266
108,16.688308715820312
109,16.55830955505371
110,16.559463500976562
111,16.52358627319336
112,16.517894744873047
113,16.55083656311035
114,16.424875259399414
