,loss
0,16.747188568115234
1,16.44676971435547
2,16.206127166748047
3,16.45452880859375
4,16.69969367980957
5,16.825471878051758
6,16.529178619384766
7,16.453685760498047
8,16.57221031188965
9,16.55718994140625
10,15.955887794494629
11,16.574087142944336
12,16.45024871826172
13,16.20401954650879
14,16.205568313598633
15,16.207958221435547
16,16.081741333007812
17,16.33024787902832
18,16.2833309173584
19,16.45517921447754
20,16.501934051513672
21,16.43865394592285
22,16.436784744262695
23,16.169252395629883
24,16.45553970336914
25,15.295177459716797
26,15.829899787902832
27,16.32097816467285
28,16.435192108154297
29,15.953956604003906
30,15.612065315246582
31,16.07827377319336
32,16.068893432617188
33,16.319984436035156
34,16.33332061767578
35,16.207427978515625
36,16.106456756591797
37,16.110939025878906
38,15.889351844787598
39,15.831048965454102
40,15.452287673950195
41,15.955343246459961
42,15.999726295471191
43,15.547351837158203
44,15.827080726623535
45,15.307476043701172
46,15.939956665039062
47,15.708080291748047
48,16.20551109313965
49,15.70494270324707
50,15.194067001342773
51,15.063345909118652
52,15.581961631774902
53,15.826648712158203
54,14.955211639404297
55,15.20588493347168
56,15.236774444580078
57,14.625895500183105
58,15.704076766967773
59,15.706798553466797
60,15.706535339355469
61,15.207428932189941
62,15.824756622314453
63,15.17255973815918
64,15.095081329345703
65,15.583270072937012
66,14.653587341308594
67,14.906734466552734
68,15.381627082824707
69,14.973509788513184
70,14.76387882232666
71,15.358192443847656
72,14.728740692138672
73,13.956104278564453
74,14.463444709777832
75,15.206798553466797
76,14.257882118225098
77,15.301277160644531
78,15.29951286315918
79,15.322961807250977
80,15.95040512084961
81,15.45823860168457
82,14.958181381225586
83,14.602225303649902
84,15.138971328735352
85,15.207091331481934
86,14.34268569946289
87,15.075082778930664
88,14.456504821777344
89,15.202049255371094
90,14.46339225769043
91,14.582371711730957
92,15.225337982177734
93,13.84788703918457
94,13.835360527038574
95,14.630683898925781
96,14.891777038574219
97,14.581832885742188
98,13.736532211303711
99,14.93055534362793
100,14.750604629516602
101,14.334484100341797
102,14.083807945251465
103,13.957776069641113
104,14.35619068145752
105,14.831456184387207
106,14.579970359802246
107,13.944698333740234
108,14.362879753112793
109,13.925077438354492
110,13.706795692443848
111,13.875747680664062
112,14.328168869018555
113,14.33509635925293
114,14.925802230834961
115,14.362883567810059
116,14.073554992675781
117,14.404829025268555
118,14.077519416809082
119,13.451888084411621
120,13.832062721252441
121,13.712974548339844
122,14.463943481445312
123,14.203678131103516
124,14.186283111572266
125,13.205316543579102
126,14.388016700744629
127,14.081195831298828
128,13.610207557678223
129,14.325427055358887
130,13.83382511138916
131,14.207127571105957
132,14.08288288116455
133,14.332677841186523
134,13.599403381347656
135,13.346714973449707
136,14.102489471435547
137,14.033223152160645
138,13.965333938598633
139,14.456869125366211
140,13.45926284790039
141,13.780242919921875
142,13.956989288330078
143,14.067031860351562
144,13.083748817443848
145,13.706226348876953
146,13.70824909210205
147,13.470465660095215
148,13.815101623535156
149,13.875513076782227
150,13.84090805053711
151,13.344444274902344
152,13.440933227539062
153,13.874183654785156
154,13.889019966125488
155,13.833754539489746
156,13.083206176757812
157,13.941349983215332
158,13.581594467163086
159,13.45754623413086
160,13.691734313964844
161,13.463371276855469
162,13.955619812011719
163,13.333824157714844
164,14.195233345031738
165,13.344335556030273
166,13.582234382629395
167,13.331878662109375
168,13.95841121673584
169,12.833451271057129
170,13.709295272827148
171,13.457819938659668
172,13.248226165771484
173,12.891063690185547
174,13.773469924926758
175,13.814468383789062
176,13.709274291992188
177,13.243441581726074
178,13.333796501159668
179,13.207901000976562
180,12.768281936645508
181,13.083072662353516
182,13.233171463012695
183,13.457793235778809
184,13.45825481414795
185,13.082808494567871
186,14.080896377563477
187,12.887356758117676
188,13.363140106201172
189,13.715950012207031
190,13.174988746643066
191,13.540287017822266
192,12.954010963439941
193,13.34032154083252
194,13.833687782287598
195,13.58297348022461
196,12.961190223693848
197,12.720513343811035
198,13.044544219970703
199,13.335968971252441
200,13.506013870239258
201,13.212080001831055
202,13.709567070007324
203,12.833831787109375
204,13.333852767944336
205,13.110352516174316
206,12.711207389831543
207,12.83331298828125
208,13.45593547821045
209,13.360614776611328
210,13.582186698913574
211,12.991189002990723
212,13.504534721374512
213,12.958813667297363
214,12.832093238830566
215,13.082043647766113
216,13.251008033752441
217,13.45873737335205
218,13.145014762878418
219,12.834137916564941
220,13.853026390075684
221,13.581439971923828
222,12.86069393157959
223,12.959081649780273
224,13.320566177368164
225,12.832942008972168
226,13.497640609741211
227,13.207050323486328
228,13.450340270996094
229,13.840713500976562
230,13.707743644714355
231,13.082687377929688
232,13.332503318786621
233,12.934844970703125
234,12.978606224060059
235,12.996313095092773
236,13.7088041305542
237,13.342315673828125
238,13.530126571655273
239,12.97126579284668
240,13.072141647338867
241,12.957616806030273
242,13.210933685302734
243,13.081912994384766
244,12.986181259155273
245,13.265776634216309
246,12.833392143249512
247,13.704998016357422
248,13.456721305847168
249,12.717426300048828
250,13.458979606628418
251,12.947471618652344
252,12.643287658691406
253,13.207515716552734
254,12.957418441772461
255,12.827018737792969
256,13.00706672668457
257,12.958656311035156
258,13.422037124633789
259,14.301639556884766
260,13.637605667114258
261,13.331162452697754
262,13.489458084106445
263,13.209564208984375
264,13.291275978088379
265,12.833508491516113
266,13.083812713623047
267,13.583810806274414
268,12.964254379272461
269,13.218618392944336
270,13.583988189697266
271,13.08361530303955
272,13.083792686462402
273,13.382094383239746
274,12.95881175994873
275,12.83344841003418
276,12.45717716217041
277,13.062015533447266
278,12.9950532913208
279,12.958548545837402
280,13.08262825012207
281,12.95880126953125
282,13.206706047058105
283,12.844473838806152
284,12.976984024047852
285,12.709216117858887
286,13.458282470703125
287,12.583812713623047
288,12.708643913269043
289,12.728772163391113
290,12.952742576599121
291,13.331352233886719
292,12.581881523132324
293,13.20821762084961
294,12.582117080688477
295,12.8338041305542
296,13.207535743713379
297,12.735450744628906
298,12.708608627319336
299,12.959051132202148
300,13.288312911987305
301,12.708761215209961
302,13.208815574645996
303,13.330286026000977
304,13.202507972717285
305,12.958532333374023
306,12.857449531555176
307,12.708600044250488
308,13.210512161254883
309,13.321491241455078
310,13.208393096923828
