,loss
0,16.677560806274414
1,16.670425415039062
2,16.68500518798828
3,16.72053337097168
4,16.66716194152832
5,16.728307723999023
6,16.698036193847656
7,16.653348922729492
8,16.798744201660156
9,16.818500518798828
10,16.56524658203125
11,16.64486312866211
12,16.648218154907227
13,16.645963668823242
14,16.709213256835938
15,16.5578556060791
16,16.727506637573242
17,16.66754150390625
18,16.658769607543945
19,16.64649200439453
20,16.6679630279541
21,16.648208618164062
22,16.59072494506836
23,16.702983856201172
24,16.773988723754883
25,16.537548065185547
26,16.55091667175293
27,16.407623291015625
28,16.735687255859375
29,16.59926986694336
30,16.548139572143555
31,16.58539581298828
32,16.453662872314453
33,16.654939651489258
34,16.71174430847168
35,16.626760482788086
36,16.57084846496582
37,16.555431365966797
38,16.720287322998047
39,16.703014373779297
40,16.582073211669922
41,16.612659454345703
42,16.487016677856445
43,16.548683166503906
44,16.533594131469727
45,16.777061462402344
46,16.595726013183594
47,16.731712341308594
48,16.632341384887695
49,16.616859436035156
50,16.52846908569336
51,16.637439727783203
52,16.599437713623047
53,16.735143661499023
54,16.429052352905273
55,16.660146713256836
56,16.642356872558594
57,16.6028995513916
58,16.576675415039062
59,16.468563079833984
60,16.477405548095703
61,16.519508361816406
62,16.48040771484375
63,16.473207473754883
64,16.540563583374023
65,16.577922821044922
66,16.494382858276367
67,16.523731231689453
68,16.557315826416016
69,16.356287002563477
70,16.491235733032227
71,16.512985229492188
72,16.197528839111328
73,16.570526123046875
74,16.493764877319336
75,16.337291717529297
76,16.590076446533203
77,16.492740631103516
78,16.52490997314453
79,16.638484954833984
80,16.388925552368164
81,16.504528045654297
82,16.437719345092773
83,16.28924560546875
84,16.427913665771484
85,16.44095230102539
86,16.624631881713867
87,16.445589065551758
88,16.513301849365234
89,16.311384201049805
90,16.623327255249023
91,16.356857299804688
92,16.26454734802246
93,16.38303565979004
94,16.661556243896484
95,16.267728805541992
96,16.397464752197266
97,16.597196578979492
98,16.412864685058594
99,16.400920867919922
100,16.565319061279297
101,16.26004981994629
102,16.405282974243164
103,16.525806427001953
104,16.369075775146484
105,16.26430320739746
106,16.202869415283203
107,16.352069854736328
108,16.450395584106445
109,16.20391273498535
110,16.459003448486328
111,16.173316955566406
112,16.040151596069336
113,16.456195831298828
114,16.208423614501953
115,16.24778175354004
116,16.61391830444336
117,16.21136474609375
118,16.17502784729004
119,16.010438919067383
120,16.430063247680664
121,16.123188018798828
122,16.125503540039062
123,16.340770721435547
124,16.394474029541016
125,16.35824203491211
126,16.233007431030273
127,16.302902221679688
128,16.19788932800293
129,16.274494171142578
130,16.404460906982422
131,16.441083908081055
132,16.325057983398438
133,16.168672561645508
134,16.18751335144043
135,16.220144271850586
136,16.28474998474121
137,16.06948471069336
138,16.237712860107422
139,16.304725646972656
140,16.09454917907715
141,16.05421257019043
142,16.34842872619629
143,15.963407516479492
144,15.940034866333008
145,15.909710884094238
146,16.507556915283203
147,16.269533157348633
148,16.342702865600586
149,16.393733978271484
150,16.100812911987305
151,16.460079193115234
