,loss
0,16.598251342773438
1,16.522287368774414
2,16.642040252685547
3,16.62972640991211
4,16.760326385498047
5,16.77560043334961
6,16.65980339050293
7,16.58844566345215
8,16.698410034179688
9,16.593730926513672
10,16.483745574951172
11,16.678707122802734
12,16.643474578857422
13,16.68824577331543
14,16.661556243896484
15,16.192947387695312
16,16.30733299255371
17,16.722179412841797
18,16.623079299926758
19,16.369550704956055
20,16.257890701293945
21,16.013975143432617
22,16.599308013916016
23,16.22711753845215
24,15.880084991455078
25,15.591642379760742
26,15.47724437713623
27,15.887099266052246
28,15.792560577392578
29,15.90754508972168
30,16.194320678710938
31,16.21681022644043
32,16.147932052612305
33,16.172176361083984
34,16.24903106689453
35,16.110340118408203
36,15.823054313659668
37,15.886100769042969
38,15.938236236572266
39,15.47488021850586
40,16.264989852905273
41,15.61467456817627
42,16.215898513793945
43,16.3800106048584
44,15.80645751953125
45,15.85921859741211
46,15.731014251708984
47,15.906997680664062
48,15.588385581970215
49,15.696064949035645
50,15.69112777709961
51,15.442525863647461
52,15.553491592407227
53,15.523737907409668
54,15.888261795043945
55,15.651469230651855
56,16.244028091430664
57,15.55804443359375
58,15.507322311401367
59,15.097336769104004
60,15.064123153686523
61,14.657174110412598
62,15.713132858276367
63,15.222902297973633
64,15.541333198547363
65,15.031839370727539
66,14.683221817016602
67,14.741839408874512
68,15.688939094543457
69,15.059948921203613
70,15.24997615814209
71,15.190030097961426
72,14.553482055664062
73,15.237909317016602
74,14.915985107421875
75,14.507913589477539
76,14.590705871582031
77,15.405513763427734
78,15.146074295043945
79,14.721692085266113
80,15.006341934204102
81,14.701316833496094
82,14.736112594604492
83,14.558507919311523
84,14.247945785522461
85,14.92009162902832
86,14.009958267211914
87,14.75758171081543
88,14.281100273132324
89,15.231440544128418
90,14.533734321594238
91,13.944524765014648
92,14.5006685256958
93,15.027812957763672
94,14.499221801757812
95,14.144430160522461
96,13.898293495178223
97,14.856583595275879
98,14.759418487548828
99,13.825151443481445
100,14.603166580200195
101,14.094565391540527
102,14.223443984985352
103,14.613044738769531
104,14.584665298461914
105,14.024264335632324
106,14.450462341308594
107,13.684257507324219
108,14.154903411865234
109,13.983329772949219
110,13.38472843170166
111,14.1949462890625
112,14.02570915222168
113,14.036184310913086
114,14.058188438415527
115,13.634024620056152
116,13.819865226745605
117,13.883208274841309
118,13.840890884399414
119,14.287032127380371
120,14.128214836120605
121,14.041393280029297
122,13.262585639953613
123,13.389432907104492
124,13.970478057861328
125,13.12000560760498
126,13.281829833984375
127,13.180699348449707
128,14.405991554260254
129,13.380449295043945
130,13.973356246948242
131,13.597228050231934
