,loss
0,16.787952423095703
1,16.6395263671875
2,16.58837127685547
3,16.673309326171875
4,16.611467361450195
5,16.59438705444336
6,16.41672134399414
7,16.602197647094727
8,16.375469207763672
9,16.640817642211914
10,16.359506607055664
11,16.7054443359375
12,16.499921798706055
13,16.291275024414062
14,16.376785278320312
15,16.409225463867188
16,16.51996421813965
17,16.156396865844727
18,16.40085220336914
19,16.26897621154785
20,16.021129608154297
21,16.265182495117188
22,15.99098014831543
23,15.880228996276855
24,16.248992919921875
25,16.812950134277344
26,16.08599853515625
27,15.62553596496582
28,16.256994247436523
29,15.66341781616211
30,16.35697364807129
31,15.641898155212402
32,15.676377296447754
33,15.174469947814941
34,15.633279800415039
35,16.09613609313965
36,16.561758041381836
37,15.521427154541016
38,15.728935241699219
39,15.57470417022705
40,15.709379196166992
41,15.496126174926758
42,16.083703994750977
43,15.794207572937012
44,16.34894561767578
45,14.938379287719727
46,15.702445030212402
47,15.30158519744873
48,15.368326187133789
49,15.22622299194336
50,15.604942321777344
51,14.961450576782227
52,15.818479537963867
53,16.213808059692383
54,15.359640121459961
55,15.691988945007324
56,15.655664443969727
57,15.62572956085205
58,15.552999496459961
59,16.018049240112305
60,16.297969818115234
61,15.303482055664062
62,15.65981674194336
63,15.48354721069336
64,16.002349853515625
65,15.521246910095215
66,15.391255378723145
67,14.954923629760742
68,15.066186904907227
69,15.859902381896973
70,15.56213092803955
71,15.447072982788086
72,14.93233871459961
73,15.344053268432617
74,15.039292335510254
75,14.631117820739746
76,14.920514106750488
77,14.661874771118164
78,14.771708488464355
79,15.018399238586426
80,15.451346397399902
81,15.678976058959961
82,15.446579933166504
83,15.696063995361328
84,15.238972663879395
85,15.24379825592041
86,15.157533645629883
87,15.088144302368164
88,14.40977668762207
89,14.688820838928223
90,14.469583511352539
91,14.738799095153809
92,15.309473037719727
93,14.971210479736328
94,15.158102035522461
95,15.343484878540039
96,15.204268455505371
97,14.643562316894531
98,14.635430335998535
99,15.267802238464355
100,14.901585578918457
101,15.008028030395508
102,14.936022758483887
103,14.772404670715332
104,14.804056167602539
105,14.185760498046875
106,15.098976135253906
107,14.628754615783691
108,14.357922554016113
109,14.82933235168457
110,14.815475463867188
111,14.136749267578125
112,14.67707633972168
113,13.944784164428711
114,14.715413093566895
115,14.128844261169434
116,14.644078254699707
117,14.50889778137207
118,14.560104370117188
119,15.218355178833008
120,14.894396781921387
121,14.07830810546875
122,14.84842586517334
123,15.036293983459473
124,14.627908706665039
125,14.50216293334961
126,14.453882217407227
127,14.595071792602539
128,14.425725936889648
129,13.935079574584961
130,14.697772979736328
131,14.486440658569336
132,13.74070930480957
133,14.497575759887695
134,14.326154708862305
135,13.996044158935547
136,13.493677139282227
137,14.530549049377441
138,14.673664093017578
139,14.373973846435547
140,13.84305191040039
141,14.423608779907227
142,14.3828125
143,13.838958740234375
144,14.346447944641113
145,14.054098129272461
146,14.313467025756836
147,14.807868957519531
148,14.426054000854492
149,14.204776763916016
150,14.40560531616211
151,14.041170120239258
152,14.278196334838867
153,14.526714324951172
154,13.974824905395508
155,14.251723289489746
156,14.556379318237305
157,14.077837944030762
158,14.225090980529785
159,13.92181396484375
160,14.250178337097168
161,13.513860702514648
162,13.71626091003418
163,14.663961410522461
164,14.003528594970703
165,13.657588005065918
166,14.760374069213867
167,13.612531661987305
168,13.35024642944336
169,13.914116859436035
170,13.8541259765625
171,14.210001945495605
172,13.866744995117188
173,13.883584976196289
174,14.029109001159668
175,14.069278717041016
176,13.604633331298828
177,13.776540756225586
178,13.774739265441895
179,14.525651931762695
180,14.127416610717773
181,13.746036529541016
182,14.265134811401367
183,13.562932968139648
184,13.736090660095215
185,14.11528205871582
186,13.457504272460938
187,13.761499404907227
188,14.75510311126709
189,13.760218620300293
190,14.35515022277832
191,14.163714408874512
192,13.713428497314453
193,14.083303451538086
194,13.33292007446289
195,13.231410026550293
196,13.872925758361816
197,13.530336380004883
198,13.69697380065918
199,13.801267623901367
200,13.649618148803711
201,14.068097114562988
202,13.664581298828125
203,14.452808380126953
204,13.540619850158691
205,13.614931106567383
206,13.840984344482422
207,14.305807113647461
208,13.96010971069336
209,13.360119819641113
