,loss
0,16.69149398803711
1,16.951799392700195
2,16.450063705444336
3,16.80039405822754
4,16.58028793334961
5,16.692424774169922
6,16.51760482788086
7,16.45056915283203
8,16.324331283569336
9,16.604642868041992
10,16.580434799194336
11,16.582061767578125
12,16.68337059020996
13,16.706920623779297
14,16.830305099487305
15,16.704444885253906
16,16.442550659179688
17,16.434497833251953
18,16.506366729736328
19,16.182632446289062
20,16.703420639038086
21,16.0982608795166
22,15.956348419189453
23,16.4693660736084
24,16.581167221069336
25,16.57902717590332
26,16.705772399902344
27,16.82709312438965
28,16.150760650634766
29,16.448627471923828
30,16.47016143798828
31,16.66669273376465
32,16.76780891418457
33,16.085437774658203
34,16.22397804260254
35,16.38576889038086
36,16.362735748291016
37,16.324392318725586
38,16.328218460083008
39,16.21126937866211
40,16.696895599365234
41,16.49070930480957
42,16.080997467041016
43,16.57660675048828
44,16.250268936157227
45,16.442890167236328
46,16.124858856201172
47,16.459836959838867
48,16.670928955078125
49,16.075321197509766
50,16.14381217956543
51,15.948375701904297
52,15.832283020019531
53,16.323087692260742
54,16.0732421875
55,15.585384368896484
56,16.2011775970459
57,16.455976486206055
58,16.39543342590332
59,15.613324165344238
60,15.572324752807617
61,15.710569381713867
62,15.441529273986816
63,15.704012870788574
64,15.957180976867676
65,15.40145206451416
66,15.881542205810547
67,16.080299377441406
68,15.554080963134766
69,15.6946382522583
70,16.207942962646484
71,15.462560653686523
72,16.081790924072266
73,15.458340644836426
74,15.016383171081543
75,15.203161239624023
76,15.564504623413086
77,15.97176742553711
78,16.203317642211914
79,15.447725296020508
80,15.329537391662598
81,14.956981658935547
82,15.583354949951172
83,15.199691772460938
84,15.333677291870117
85,15.334121704101562
86,15.594274520874023
87,15.287184715270996
88,14.826210975646973
89,15.552553176879883
90,15.106302261352539
91,16.079933166503906
92,14.95724868774414
93,15.510294914245605
94,15.194412231445312
95,15.555883407592773
96,15.331730842590332
97,14.931353569030762
98,14.898113250732422
99,15.581640243530273
100,15.57231616973877
101,14.72642707824707
102,15.509833335876465
103,14.95706558227539
104,15.748236656188965
105,15.081819534301758
106,15.075559616088867
107,15.064886093139648
108,15.206204414367676
109,14.99683666229248
110,15.211884498596191
111,15.240533828735352
112,14.831657409667969
113,14.82117748260498
114,15.144972801208496
115,14.953814506530762
116,15.206123352050781
117,14.707082748413086
118,14.580083847045898
119,14.68964958190918
120,14.978429794311523
121,14.893508911132812
122,14.205989837646484
123,15.002639770507812
124,14.980971336364746
125,14.708816528320312
126,14.792520523071289
127,14.123700141906738
128,14.825372695922852
129,14.082134246826172
130,15.080387115478516
131,14.053598403930664
132,14.45741081237793
133,14.787738800048828
134,14.45621109008789
135,14.23973274230957
136,14.703287124633789
137,14.627325057983398
138,14.491012573242188
139,14.920464515686035
140,14.955007553100586
141,14.52100658416748
142,14.387661933898926
143,14.58221435546875
144,14.329484939575195
145,14.280777931213379
146,13.718138694763184
147,13.970865249633789
148,14.40456771850586
149,14.57681941986084
150,14.173688888549805
151,13.98048210144043
152,13.958802223205566
153,14.458292007446289
154,14.255685806274414
155,14.19921875
156,13.499805450439453
157,14.209253311157227
158,13.899345397949219
159,13.978669166564941
160,13.51984977722168
161,13.900406837463379
162,14.208240509033203
163,13.957196235656738
164,14.229118347167969
165,13.743818283081055
166,14.451813697814941
167,14.0851469039917
168,13.725170135498047
169,14.193821907043457
170,14.405378341674805
171,13.460569381713867
172,13.983673095703125
173,14.213051795959473
174,13.79504680633545
175,13.833309173583984
176,13.956452369689941
177,13.689494132995605
178,14.206374168395996
179,14.333868026733398
180,13.45765495300293
181,13.963292121887207
182,13.430465698242188
183,13.33740234375
184,14.207250595092773
185,13.899433135986328
186,14.59941291809082
187,14.083683967590332
188,13.830690383911133
189,13.46951675415039
190,14.085482597351074
191,13.585823059082031
192,13.582873344421387
193,14.581936836242676
194,13.953536033630371
195,13.3328857421875
196,13.607562065124512
197,13.725321769714355
198,13.794109344482422
199,13.083463668823242
200,14.24091911315918
201,13.858756065368652
202,13.501766204833984
203,13.582504272460938
204,13.56573486328125
205,14.212112426757812
206,13.087013244628906
207,13.6868896484375
208,13.386667251586914
209,13.334981918334961
210,13.594242095947266
211,13.583562850952148
212,12.713104248046875
213,13.926168441772461
214,13.578153610229492
215,14.093622207641602
216,13.787109375
217,13.70910930633545
218,13.488914489746094
219,13.538200378417969
220,13.374401092529297
221,13.425525665283203
222,13.093757629394531
223,13.474766731262207
224,13.708827018737793
225,13.9826021194458
226,13.334404945373535
227,13.708808898925781
228,13.217798233032227
229,13.627910614013672
230,13.130339622497559
231,13.710205078125
232,13.755365371704102
233,14.052968978881836
234,13.23255443572998
235,13.789127349853516
236,12.962491989135742
237,13.846382141113281
238,13.463966369628906
239,13.61320686340332
240,13.204534530639648
241,13.47892951965332
242,13.958660125732422
243,13.585224151611328
244,13.323883056640625
245,13.182112693786621
246,13.349241256713867
247,13.333841323852539
248,13.208442687988281
249,14.038763999938965
250,13.209177017211914
251,13.592309951782227
252,13.763072967529297
253,13.327017784118652
254,13.463150024414062
